,Unnamed: 0,French,English
0,0,partie,part
1,1,chercher,search
2,2,seulement,only
3,3,police,police
4,4,pensais,thought
5,5,aide,help
6,6,demande,request
7,7,genre,kind
8,8,mois,month
9,9,frère,brother
10,10,laisser,let
11,11,car,because
12,12,mettre,to put
13,13,aucun,no
14,14,laisse,leash
15,15,ville,city
16,16,chaque,each
17,17,parlé,speak
18,18,arrivé,come
19,19,devrait,should
20,20,heures,hours
21,21,vont,will
22,22,pendant,while
23,23,revoir,meet again
24,24,aucune,any
25,25,place,square
26,26,parle,speak
27,27,savais,knew
28,28,étaient,were
29,29,attention,Warning
30,30,voici,here is
31,31,affaire,case
32,32,donner,give
33,33,type,type
34,34,donné,given
35,35,train,train
36,36,corps,body
37,37,endroit,place
38,38,yeux,eyes
39,39,façon,way
40,40,écoute,listen
41,41,dont,whose
42,42,trouve,find
43,43,premier,first
44,44,perdu,lost
45,45,première,first
46,46,côté,side
47,47,pouvoir,power
48,48,vieux,old
49,49,tiens,here
50,50,matin,morning
51,51,tellement,so much
52,52,point,point
53,53,venu,came
54,54,suite,after
55,55,pardon,sorry
56,56,venez,come
57,57,devant,in front of
58,58,vers,towards
59,59,minutes,minutes
60,60,demandé,request
61,61,chambre,bedroom
62,62,mis,placed
63,63,belle,beautiful
64,64,droit,law
65,65,aimerais,would like to
66,66,aujourd'hui,today
67,67,mari,husband
68,68,cause,cause
69,69,enfin,finally
70,70,espère,hope
71,71,eau,water
72,72,attendez,Wait
73,73,parti,left
74,74,nouvelle,new
75,75,arrêter,Stop
76,76,dirait,would say
77,77,terre,Earth
78,78,compte,account
79,80,loin,far
80,81,fin,end
81,82,croire,believe
82,83,chérie,sweetheart
83,84,gros,large
84,85,plutôt,rather
85,86,filles,girls
86,87,jouer,to play
87,88,bureau,office
